"county_id","county_name","district_id","district_name","reg_district_id","muniflag","reg_name","gen_fun_sch_levy","strwo_entv","strwo_entv_dt2","strwo_gfst_rate","total_sch_levy","strwi_entv","strwi_entv_dt2","strwi_tst_rate","gen_fun_sch_levy2","estrwo_eev","estrwo_eev_dt2","estrwo_gfst_rate","total_sch_levy2","estrwi_eev","estrwi_eev_dt2","estrwi_etst_rate"
01,"Atlantic",0010,"Absecon City",,,,12395772,727055300,"01OCT24",1.705,12658187,727055300,"01OCT24",1.741,12395772,1059538473,"01OCT24",1.170,12658187,1059538473,"01OCT24",1.195
01,"Atlantic",0110,"Atlantic City",,,,73195275,2406105063,"01OCT24",3.042,32769250,2406105063,"01OCT24",1.362,73195275,3702839432,"01OCT24",1.977,32769250,3702839432,"01OCT24",.8850
01,"Atlantic",0570,"Brigantine City",,,,15888114,3495385600,"01OCT24",.4545,15888114,3495385600,"01OCT24",.4545,15888114,6290058665,"01OCT24",.2526,15888114,6290058665,"01OCT24",.2526
01,"Atlantic",0590,"Buena Regional",0590,"A","BUENA BORO",4494610,292105300,"01OCT24",1.539,4922575,292105300,"01OCT24",1.685,4494610,366000877,"01OCT24",1.228,4922575,366000877,"01OCT24",1.345
01,"Atlantic",0590,"Buena Regional",0590,"B","BUENA VISTA TWP",10601654,649845250,"01OCT24",1.631,11916154,649845250,"01OCT24",1.834,10601654,894513130,"01OCT24",1.185,11916154,894513130,"01OCT24",1.332
01,"Atlantic",0960,"Corbin City",,,,602163,51693300,"01OCT24",1.165,602163,51693300,"01OCT24",1.165,602163,84721192,"01OCT24",.7108,602163,84721192,"01OCT24",.7108
01,"Atlantic",1300,"Egg Harbor City",,,,2886917,207068800,"10JAN25",1.394,3497449,207068800,"10JAN25",1.689,2886917,360987357,"01OCT24",.7997,3497449,360987357,"01OCT24",.9689
01,"Atlantic",1310,"Egg Harbor Twp",,,,82088342,4191469290,"01JAN25",1.959,87653033,4191469290,"01JAN25",2.091,82088342,6189084592,"01OCT24",1.326,87653033,6189084592,"01OCT24",1.416
01,"Atlantic",1410,"Estell Manor City",,,,2905559,158472100,"01OCT24",1.834,2988265,158472100,"01OCT24",1.886,2905559,246757325,"01OCT24",1.178,2988265,246757325,"01OCT24",1.211
01,"Atlantic",1540,"Folsom Boro",,,,2136025,176484800,"01OCT24",1.210,2263097,176484800,"01OCT24",1.282,2136025,252013137,"01OCT24",.8476,2263097,252013137,"01OCT24",.8980
01,"Atlantic",1690,"Galloway Twp",,,,37684602,2828526700,"01OCT24",1.332,37684602,2828526700,"01OCT24",1.332,37684602,4537166118,"01OCT24",.8306,37684602,4537166118,"01OCT24",.8306
01,"Atlantic",1790,"Greater Egg Harbor Reg",1300,,"EGG HARBOR CITY",1596404,207068800,"01FEB25",.7710,1744001,207068800,"01FEB25",.8422,1596404,360987357,"01OCT24",.4422,1744001,360987357,"01OCT24",.4831
01,"Atlantic",1790,"Greater Egg Harbor Reg",1690,,"GALLOWAY TWP",18629489,2828526700,"01FEB25",.6586,20351890,2828526700,"01FEB25",.7195,18629489,4537166118,"01OCT24",.4106,20351890,4537166118,"01OCT24",.4486
01,"Atlantic",1790,"Greater Egg Harbor Reg",1940,,"HAMILTON TWP",13187582,2062990632,"01FEB25",.6392,14406848,2062990632,"01FEB25",.6983,13187582,3304084139,"01OCT24",.3991,14406848,3304084139,"01OCT24",.4360
01,"Atlantic",1790,"Greater Egg Harbor Reg",3480,,"MULLICA TWP",3463880,462233000,"01FEB25",.7494,3784135,462233000,"01FEB25",.8187,3463880,771542614,"01OCT24",.4490,3784135,771542614,"01OCT24",.4905
01,"Atlantic",1940,"Hamilton Twp",,,,22454513,2050001900,"01OCT24",1.095,23621732,2050001900,"01OCT24",1.152,22454513,3304084139,"01OCT24",.6796,23621732,3304084139,"01OCT24",.7149
01,"Atlantic",1960,"Hammonton Town",,,,19239074,1440171700,"01OCT24",1.336,20901249,1440171700,"01OCT24",1.451,19239074,1923877579,"01OCT24",1.000,20901249,1923877579,"01OCT24",1.086
01,"Atlantic",2680,"Linwood City",,,,13976789,951440900,"01OCT24",1.469,14243826,951440900,"01OCT24",1.497,13976789,1346191626,"01OCT24",1.038,14243826,1346191626,"01OCT24",1.058
01,"Atlantic",2780,"Longport",,,,758389,1966811300,"01OCT24",.0386,758389,1966811300,"01OCT24",.0386,758389,3126886010,"01OCT24",.0243,758389,3126886010,"01OCT24",.0243
01,"Atlantic",2910,"Mainland Regional",2680,,"LINWOOD",6558707,951440900,"21JAN25",.6893,7293299,951440900,"21JAN25",.7666,6558707,1346191626,"01OCT24",.4872,7293299,1346191626,"01OCT24",.5418
01,"Atlantic",2910,"Mainland Regional",3720,,"NORTHFIELD",6269532,885820900,"21JAN25",.7078,6971555,885820900,"21JAN25",.7870,6269532,1260257875,"01OCT24",.4975,6971555,1260257875,"01OCT24",.5532
01,"Atlantic",2910,"Mainland Regional",4800,,"SOMERS POINT",8371957,1147244000,"21JAN25",.7297,9309073,1147244000,"21JAN25",.8114,8371957,1833241169,"01OCT24",.4567,9309073,1833241169,"01OCT24",.5078
01,"Atlantic",3020,"Margate City",,,,11181119,4110031700,"31JAN25",.2720,11181119,4110031700,"31JAN25",.2720,11181119,7839564078,"01OCT24",.1426,11181119,7839564078,"01OCT24",.1426
01,"Atlantic",3480,"Mullica Twp",,,,6060144,461691100,"01OCT24",1.313,6319752,461691100,"01OCT24",1.369,6060144,771542614,"01OCT24",.7855,6319752,771542614,"01OCT24",.8191
01,"Atlantic",3720,"Northfield City",,,,11075813,885820900,"01JAN25",1.250,11509636,885820900,"01JAN25",1.299,11075813,1268357532,"01JAN25",.8732,11509636,1268357532,"01JAN25",.9074
01,"Atlantic",4180,"Pleasantville City",,,,10374405,791934100,"01OCT24",1.310,10374405,791934100,"01OCT24",1.310,10374405,1260840790,"01OCT24",.8228,10374405,1260840790,"01OCT24",.8228
01,"Atlantic",4240,"Port Republic City",,,,2682221,118533400,"01OCT24",2.263,2682221,118533400,"01OCT24",2.263,2682221,220855972,"01OCT24",1.215,2682221,220855972,"01OCT24",1.215
